"name","engine_source","deck_import_eligible","engine_status","semantic_class","mana_cost","type_line","color_identity","oracle_id","source_name","source_match","in_comparison_universe","source_commander_legality","source_games"
"Aberrant","oracle-0127","true","certified","creature-template","{X}{1}{G}","Creature — Tyranid Mutant","G","46b5f12e-9fe5-44f6-b895-ee8c33205521","Aberrant","oracle-id","true","legal","paper,mtgo"
"Aberrant Researcher // Perfected Form","oracle-0155","true","certified","creature-template","{3}{U}","Creature — Human Insect // Creature — Insect Horror","U","722ee05f-6815-41b7-9813-5ec3902c1e9f","Aberrant Researcher // Perfected Form","oracle-id","true","legal","paper,mtgo"
"Aberrant Return","legacy","true","certified-legacy","manual","{4}{B}{B}","Sorcery","B","3a92b235-196b-4f46-9d20-06f4d3653d36","Aberrant Return","canonical-name","true","legal","paper,mtgo"
"Abhorrent Oculus","oracle-0097","true","certified","creature-template","{2}{U}","Creature — Eye","U","b1a0e129-27f0-4a09-b00d-497e18777306","Abhorrent Oculus","oracle-id","true","legal","paper,mtgo,arena"
"Abhorrent Overlord","oracle-0127","true","certified","creature-template","{5}{B}{B}","Creature — Demon","B","13f63240-a6bb-4333-a3dd-818725c6fb73","Abhorrent Overlord","oracle-id","true","legal","paper,mtgo"
"Abjure","oracle-0149","true","certified","spell-template","{U}","Instant","U","dd97e457-07eb-4918-b780-ae7ff42a37e7","Abjure","oracle-id","true","legal","paper,mtgo"
"Abnormal Endurance","oracle-0149","true","certified","spell-template","{1}{B}","Instant","B","edbf1b87-2d1e-47e6-a04e-a2b1646af7d9","Abnormal Endurance","oracle-id","true","legal","arena,paper,mtgo"
"Abolish","oracle-0152","true","certified","spell-template","{1}{W}{W}","Instant","W","d6d7faa8-ecc9-408b-9c46-a0f62c74f567","Abolish","oracle-id","true","legal","paper,mtgo"
"Abominable Treefolk","oracle-0067","true","certified","creature-template","{2}{G}{U}","Snow Creature — Treefolk","GU","9d341ed4-4f9b-40df-9bd9-3bfeaf0fe595","Abominable Treefolk","oracle-id","true","legal","paper,mtgo"
"Abomination","oracle-0127","true","certified","creature-template","{3}{B}{B}","Creature — Horror","B","2c57c4e9-0a46-45d6-92db-9203fb722b60","Abomination","oracle-id","true","legal","paper"
"Abomination of Gudul","oracle-0127","true","certified","creature-template","{3}{B}{G}{U}","Creature — Horror","BGU","3d98af5f-7a0b-4a5a-b3e4-f3c9d150c993","Abomination of Gudul","oracle-id","true","legal","paper,mtgo,arena"
"Abomination, Irradiated Brute","oracle-0097","true","certified","creature-template","{2}{G}{G}","Legendary Creature — Gamma Villain","G","e7436d37-c331-4524-b5d4-861e9d25bfc5","Abomination, Irradiated Brute","oracle-id","true","legal","paper,mtgo,arena"
"Abomination, World Ravager","legacy","true","certified-legacy","manual","{7}{R}","Legendary Creature — Gamma Berserker Villain","R","e0b12c48-7234-40b5-a84c-6901d2b4e5b0","Abomination, World Ravager","canonical-name","true","legal","paper,mtgo"
"Aboroth","oracle-0165","true","certified","creature-template","{4}{G}{G}","Creature — Elemental","G","28f70f86-19a9-4811-bc10-423a05842d39","Aboroth","oracle-id","true","legal","paper,mtgo"
"Aboshan's Desire","oracle-0127","true","certified","aura-template","{U}","Enchantment — Aura","U","95db05eb-2c25-43f2-8e18-dfc64f490634","Aboshan's Desire","oracle-id","true","legal","paper,mtgo"
"Aboshan, Cephalid Emperor","oracle-0097","true","certified","creature-template","{4}{U}{U}","Legendary Creature — Octopus Noble","U","d4d44264-b276-4bd7-8fbe-6af292b08773","Aboshan, Cephalid Emperor","oracle-id","true","legal","paper,mtgo"
"About Face","oracle-0097","true","certified","spell-template","{R}","Instant","R","8a810017-06ac-4824-bc2f-a7d303d58ad7","About Face","oracle-id","true","legal","paper,mtgo"
"Abrade","legacy","true","certified-legacy","manual","{1}{R}","Instant","R","f9db72dc-9a5b-48a4-a86e-7464d9a2166a","Abrade","canonical-name","true","legal","paper,mtgo"
"Abraded Bluffs","oracle-0027","true","certified","land-mana-template","","Land — Desert","RW","ca7d093c-0533-493f-9ad3-8af30118fbfc","Abraded Bluffs","oracle-id","true","legal","paper,mtgo,arena"
"Abrupt Decay","oracle-0047","true","certified","spell-template","{B}{G}","Instant","BG","1c747fe2-289e-492a-a846-aa77707e2dc3","Abrupt Decay","oracle-id","true","legal","paper,mtgo"
"Absolute Grace","oracle-0097","true","certified","enchantment-template","{1}{W}","Enchantment","W","41785f7b-3d02-4b7f-86ff-b381f626142e","Absolute Grace","oracle-id","true","legal","paper,mtgo"
"Absolute Law","oracle-0097","true","certified","enchantment-template","{1}{W}","Enchantment","W","f4aa8391-34d5-4ad2-a981-9aa08f8229db","Absolute Law","oracle-id","true","legal","paper,mtgo"
"Absorb","oracle-0027","true","certified","spell-v4-template","{W}{U}{U}","Instant","UW","132ca99a-a3c7-4ed6-b4d0-0edcd7140ca2","Absorb","oracle-id","true","legal","paper,mtgo"
"Absorb Vis","oracle-0067","true","certified","spell-template","{6}{B}","Sorcery","B","04ea7e88-7ea5-4b4c-9a7c-2a6ac0bc0682","Absorb Vis","oracle-id","true","legal","paper"
"Abstract Performance","legacy","true","certified-legacy","manual","{5}{U}","Sorcery","U","3e0e3676-e634-4e64-bdfd-4aaa5885461f","Abstract Performance","canonical-name","true","legal","paper,mtgo"
"Abstruse Archaic","oracle-0155","true","certified","creature-template","{4}","Creature — Avatar","","0727dc95-03df-4a2c-aed5-73fb840f3db7","Abstruse Archaic","oracle-id","true","legal","paper,mtgo"
"Abstruse Interference","oracle-0127","true","certified","spell-template","{2}{U}","Instant","U","e8ebf5cb-3a26-4bbd-812b-414c129e4bb7","Abstruse Interference","oracle-id","true","legal","paper,mtgo"
"Abuelo, Ancestral Echo","oracle-0097","true","certified","creature-template","{1}{W}{U}","Legendary Creature — Spirit","UW","eaa9baac-72f2-4bde-9146-860878d9860b","Abuelo, Ancestral Echo","oracle-id","true","legal","paper,arena,mtgo"
"Abuna Acolyte","oracle-0152","true","certified","creature-template","{1}{W}","Creature — Cat Cleric","W","cf082161-47ff-46b9-926d-3fa5e5727861","Abuna Acolyte","oracle-id","true","legal","paper,mtgo"
"Abuna's Chant","oracle-0127","true","certified","spell-template","{3}{W}","Instant","W","2d4721f1-1a49-45aa-99d5-ab8c6f3f3ab6","Abuna's Chant","oracle-id","true","legal","paper,mtgo"
"Abundant Countryside","legacy","true","certified-legacy","manual","","Land","","e3eb6f90-ccfc-41e7-bff6-0b378226bc7e","Abundant Countryside","canonical-name","true","legal","paper,mtgo"
"Abundant Growth","legacy","true","certified-legacy","manual","{G}","Enchantment — Aura","G","947a2665-2f4d-4193-8768-118f85334549","Abundant Growth","canonical-name","true","legal","paper,mtgo"
"Abundant Maw","oracle-0158","true","certified","creature-template","{8}","Creature — Eldrazi Leech","B","3676b745-001d-46e6-880f-2fe26476a38d","Abundant Maw","oracle-id","true","legal","paper,mtgo"
"Abyssal Gatekeeper","oracle-0067","true","certified","creature-template","{1}{B}","Creature — Horror","B","4954181c-cb46-4cac-adc3-2c8b7693a211","Abyssal Gatekeeper","oracle-id","true","legal","paper"
"Abyssal Gorestalker","oracle-0067","true","certified","creature-template","{4}{B}{B}","Creature — Horror","B","465cda20-c8f3-4a7c-a250-875877bce21d","Abyssal Gorestalker","oracle-id","true","legal","paper,mtgo,arena"
"Abyssal Horror","oracle-0027","true","certified","creature-template","{4}{B}{B}","Creature — Horror","B","6b60422a-765b-4168-a37b-68109103385a","Abyssal Horror","oracle-id","true","legal","paper,mtgo"
"Abyssal Nightstalker","oracle-0097","true","certified","creature-template","{3}{B}","Creature — Nightstalker","B","10733767-1c97-4e2e-b02b-54bf346f6583","Abyssal Nightstalker","oracle-id","true","legal","paper"
"Abyssal Nocturnus","oracle-0127","true","certified","creature-template","{1}{B}{B}","Creature — Horror","B","b79c4066-66a9-4a53-8716-23f7a340a85f","Abyssal Nocturnus","oracle-id","true","legal","paper,mtgo"
"Abyssal Specter","oracle-0097","true","certified","creature-template","{2}{B}{B}","Creature — Specter","B","51833cff-6519-4806-8d91-0040e9a02189","Abyssal Specter","oracle-id","true","legal","paper,mtgo"
"Abzan Advantage","oracle-0097","true","certified","spell-template","{1}{W}","Instant","W","e7b2f844-2ba2-4465-bb80-358a4d915f36","Abzan Advantage","oracle-id","true","legal","paper,mtgo"
"Abzan Ascendancy","oracle-0067","true","certified","enchantment-template","{W}{B}{G}","Enchantment","BGW","3b7d4206-0d88-407b-ace5-d5d28881bf95","Abzan Ascendancy","oracle-id","true","legal","paper,mtgo"
"Abzan Banner","oracle-0027","true","certified","artifact-template","{3}","Artifact","BGW","46535f8e-1bcd-4588-ac6c-a4bc89c379c8","Abzan Banner","oracle-id","true","legal","paper,mtgo,arena"
"Abzan Battle Priest","oracle-0067","true","certified","creature-template","{3}{W}","Creature — Human Cleric","W","1b44fe0a-4a99-4166-b0b3-102b36b54ffa","Abzan Battle Priest","oracle-id","true","legal","paper,mtgo"
"Abzan Devotee","oracle-0097","true","certified","creature-template","{1}{B}","Creature — Dog Cleric","BGW","3d02ee2f-b7bd-40b0-b9be-2420991b2be0","Abzan Devotee","oracle-id","true","legal","paper,arena,mtgo"
"Abzan Falconer","legacy","true","certified-legacy","manual","{2}{W}","Creature — Human Soldier","W","8b972819-507a-40a9-ab1f-1a674ea56083","Abzan Falconer","canonical-name","true","legal","paper,mtgo"
"Abzan Guide","oracle-0014","true","certified","creature-template","{3}{W}{B}{G}","Creature — Human Warrior","BGW","85b2fb89-5ebe-4c13-bc12-38d1417e5880","Abzan Guide","oracle-id","true","legal","paper,mtgo,arena"
"Abzan Kin-Guard","oracle-0067","true","certified","creature-template","{3}{G}","Creature — Human Warrior","G","b292d183-1ba9-40b4-9cba-bd70bf1380ef","Abzan Kin-Guard","oracle-id","true","legal","paper,mtgo"
"Abzan Monument","oracle-0097","true","certified","artifact-template","{2}","Artifact","BGW","93563b7b-5685-4832-b164-0701dbf3cf18","Abzan Monument","oracle-id","true","legal","paper,arena,mtgo"
"Abzan Runemark","oracle-0127","true","certified","aura-template","{2}{W}","Enchantment — Aura","W","0a9276fc-387c-4bde-a6d6-b0dd7abee94b","Abzan Runemark","oracle-id","true","legal","paper,mtgo"
"Abzan Skycaptain","oracle-0097","true","certified","creature-template","{3}{W}","Creature — Bird Soldier","W","866fc4b9-f661-444b-b7fd-929814dbc69d","Abzan Skycaptain","oracle-id","true","legal","paper,mtgo"
"Academic Dispute","oracle-0169","true","certified","spell-template","{R}","Instant","R","b22de128-6dad-4e15-a547-1c9ca08df5ff","Academic Dispute","oracle-id","true","legal","arena,paper,mtgo"
"Academy Drake","oracle-0067","true","certified","creature-template","{2}{U}","Creature — Drake","U","65f3ebeb-1ca5-4923-b681-032579991c8a","Academy Drake","oracle-id","true","legal","arena,paper,mtgo"
"Academy Elite","oracle-0097","true","certified","creature-template","{3}{U}","Creature — Human Wizard","U","ba6c3c72-c014-45c6-a0b4-59eb9a65303e","Academy Elite","oracle-id","true","legal","paper"
"Academy Journeymage","oracle-0067","true","certified","creature-template","{4}{U}","Creature — Human Wizard","U","b400700c-1d82-4721-a166-56f88ba6ad19","Academy Journeymage","oracle-id","true","legal","arena,paper,mtgo"
"Academy Manufactor","legacy","true","certified-legacy","manual","{3}","Artifact Creature — Assembly-Worker","","f36d1d8b-8303-44a9-ab56-531931641ea2","Academy Manufactor","canonical-name","true","legal","paper,mtgo"
"Academy Raider","oracle-0047","true","certified","creature-template","{2}{R}","Creature — Human Warrior","R","75131d75-0703-44d0-b503-35190be8e66f","Academy Raider","oracle-id","true","legal","paper,mtgo"
"Academy Ruins","oracle-0067","true","certified","land-mana-template","","Legendary Land","U","a3da7d5b-2c2b-45fe-b9c5-413b8c8fc0a2","Academy Ruins","oracle-id","true","legal","paper,mtgo"
"Academy Wall","oracle-0127","true","certified","creature-template","{2}{U}","Creature — Wall","U","0cd77ee1-408c-4c51-ac87-24f4fc50083d","Academy Wall","oracle-id","true","legal","paper,arena,mtgo"
"Accelerate","oracle-0014","true","certified","spell-template","{1}{R}","Instant","R","79189464-9645-4411-8886-68fd40a588ed","Accelerate","oracle-id","true","legal","paper,mtgo"
"Accelerated Evolution","oracle-0097","true","certified","aura-template","{2}{G}","Enchantment — Aura","G","6401d0ae-4635-497d-91ef-ce2eabefb893","Accelerated Evolution","oracle-id","true","legal","paper,mtgo,arena"
"Accelerated Mutation","oracle-0067","true","certified","spell-template","{3}{G}{G}","Instant","G","f8a9c279-0f11-4a22-8651-f9caf013ca3c","Accelerated Mutation","oracle-id","true","legal","paper,mtgo"
"Access Tunnel","legacy","true","certified-legacy","manual","","Land","","ed9cc560-f30b-4b60-a094-ccf93ed656a7","Access Tunnel","canonical-name","true","legal","paper,mtgo"
"Acclaimed Contender","oracle-0097","true","certified","creature-template","{2}{W}","Creature — Human Knight","W","35df179a-c0e6-4ac1-a861-e6e9b4d1614d","Acclaimed Contender","oracle-id","true","legal","paper,mtgo"
"Accomplished Alchemist","oracle-0169","true","certified","creature-template","{3}{G}","Creature — Elf Druid","G","97e18a8d-9068-4782-a744-280d28c68228","Accomplished Alchemist","oracle-id","true","legal","arena,paper,mtgo"
"Accomplished Automaton","oracle-0047","true","certified","creature-template","{7}","Artifact Creature — Construct","","f5af0d1b-531e-4053-848a-5e0fa1022f9a","Accomplished Automaton","oracle-id","true","legal","paper,mtgo"
"Accorder Paladin","oracle-0027","true","certified","creature-template","{1}{W}","Creature — Human Knight","W","6891c8b7-7112-40dc-8b94-b84ad1885e5e","Accorder Paladin","oracle-id","true","legal","paper,mtgo"
"Accorder's Shield","oracle-0014","true","certified","equipment-template","{0}","Artifact — Equipment","","dd70d439-bd60-43d1-ac26-13b744cc4a37","Accorder's Shield","oracle-id","true","legal","paper,mtgo"
"Accumulated Knowledge","oracle-0067","true","certified","spell-template","{1}{U}","Instant","U","1ca25379-d194-4670-a7bf-525ad11cf436","Accumulated Knowledge","oracle-id","true","legal","paper,mtgo"
"Accursed Centaur","oracle-0067","true","certified","creature-template","{B}","Creature — Zombie Centaur","B","b1e6921e-e460-4e58-82b0-d98ee31c279d","Accursed Centaur","oracle-id","true","legal","paper,mtgo"
"Accursed Duneyard","oracle-0097","true","certified","land-mana-template","","Land","","48edc348-93f6-4dce-9cc4-7244d76b6f4a","Accursed Duneyard","oracle-id","true","legal","paper,mtgo"
"Accursed Horde","oracle-0067","true","certified","creature-template","{3}{B}","Creature — Zombie","B","8f3cba20-e7a4-47f4-8bce-90168ce9cc5c","Accursed Horde","oracle-id","true","legal","paper,mtgo"
"Accursed Marauder","oracle-0067","true","certified","creature-template","{1}{B}","Creature — Zombie Warrior","B","d8ad23a1-0b43-48ea-9fbe-d89b29194509","Accursed Marauder","oracle-id","true","legal","paper,mtgo,arena"
"Accursed Spirit","oracle-0004","true","certified","keyword-only","{3}{B}","Creature — Spirit","B","0e20afd2-507b-4878-a78c-f23b51ec071f","Accursed Spirit","oracle-id","true","legal","paper,mtgo"
"Ace, Fearless Rebel","oracle-0127","true","certified","creature-template","{3}{G}","Legendary Creature — Human Rebel","G","50d0d870-fe3d-44a2-ad6e-93307a1fb468","Ace, Fearless Rebel","oracle-id","true","legal","paper"
"Acid Web Spider","oracle-0067","true","certified","creature-template","{3}{G}{G}","Creature — Spider","G","23d4f436-a417-4a26-b5b8-c698f11a186b","Acid Web Spider","oracle-id","true","legal","paper,mtgo"
"Acid-Spewer Dragon","oracle-0067","true","certified","creature-template","{5}{B}","Creature — Dragon","B","f4378682-359f-48b0-adb7-b996b8d972db","Acid-Spewer Dragon","oracle-id","true","legal","paper,mtgo"
"Acidic Slime","oracle-0067","true","certified","creature-template","{3}{G}{G}","Creature — Ooze","G","21f45043-5419-4019-8b6c-e5294bd5f549","Acidic Slime","oracle-id","true","legal","paper,mtgo"
"Acolyte of Aclazotz","oracle-0097","true","certified","creature-template","{2}{B}","Creature — Vampire Cleric","B","324d2aa8-6dea-4b0d-898d-1e52ed187565","Acolyte of Aclazotz","oracle-id","true","legal","paper,arena,mtgo"
"Acolyte of Affliction","oracle-0127","true","certified","creature-template","{2}{B}{G}","Creature — Human Cleric","BG","d57c246f-18e5-4523-898c-1509db738363","Acolyte of Affliction","oracle-id","true","legal","arena,paper,mtgo"
"Acolyte of Xathrid","oracle-0067","true","certified","creature-template","{B}","Creature — Human Cleric","B","62dca41b-58b0-45eb-ada7-568e80a2abec","Acolyte of Xathrid","oracle-id","true","legal","paper,mtgo"
"Acolyte of the Inferno","oracle-0097","true","certified","creature-template","{2}{R}","Creature — Human Monk","R","35bf67e0-8141-4664-b762-2c613353e1eb","Acolyte of the Inferno","oracle-id","true","legal","paper,mtgo"
"Acorn Harvest","oracle-0165","true","certified","spell-template","{3}{G}","Sorcery","G","6aeba615-2d37-4eb8-a377-41a517e95aa3","Acorn Harvest","oracle-id","true","legal","paper,mtgo"
"Acridian","oracle-0067","true","certified","creature-template","{1}{G}","Creature — Insect","G","c6d0f1bc-b82a-4e64-a4bc-11ad3f54c71a","Acridian","oracle-id","true","legal","paper,mtgo"
"Acrobatic Leap","oracle-0047","true","certified","spell-template","{W}","Instant","W","1347224f-421e-4270-8e50-cf25c875909c","Acrobatic Leap","oracle-id","true","legal","paper,arena,mtgo"
"Acrobatic Maneuver","oracle-0047","true","certified","spell-template","{2}{W}","Instant","W","1aa1cf50-ee79-4bef-826b-5f1a9e1aa1a5","Acrobatic Maneuver","oracle-id","true","legal","paper,mtgo"
"Act of Aggression","oracle-0067","true","certified","spell-template","{3}{R/P}{R/P}","Instant","R","9d7624ea-ffff-470b-928b-bbac66ddbd1c","Act of Aggression","oracle-id","true","legal","paper"
"Act of Treason","oracle-0067","true","certified","spell-template","{2}{R}","Sorcery","R","9d08af23-9f4a-4097-9abc-3b17475ab744","Act of Treason","oracle-id","true","legal","paper,mtgo"
"Act on Impulse","oracle-0047","true","certified","spell-template","{2}{R}","Sorcery","R","19ad338a-c89f-406d-ad1a-222c22044e1b","Act on Impulse","oracle-id","true","legal","paper,mtgo"
"Action News Crew","oracle-0067","true","certified","creature-template","{1}{W}","Creature — Human Citizen","W","a9d68cf5-3055-4ec9-9893-244bfd7046be","Action News Crew","oracle-id","true","legal","paper,arena,mtgo"
"Adamant Will","oracle-0014","true","certified","spell-template","{1}{W}","Instant","W","467e22c3-6107-40ff-afc7-5960710c970b","Adamant Will","oracle-id","true","legal","paper,arena,mtgo"
"Adanto Vanguard","oracle-0097","true","certified","creature-template","{1}{W}","Creature — Vampire Soldier","W","91c380f6-2c41-48b7-9f07-104e8659e397","Adanto Vanguard","oracle-id","true","legal","arena,paper,mtgo"
"Adaptive Gemguard","oracle-0097","true","certified","creature-template","{3}{W}","Artifact Creature — Gnome","W","2fdc0d15-ecb4-4a6d-be77-7a3fca188c9c","Adaptive Gemguard","oracle-id","true","legal","paper,arena,mtgo"
"Adaptive Omnitool","oracle-0067","true","certified","equipment-template","{2}","Artifact — Equipment","","e91240bc-4a13-4131-9379-5ddac6555f4a","Adaptive Omnitool","oracle-id","true","legal","paper,mtgo"
"Adaptive Shimmerer","oracle-0027","true","certified","creature-template","{5}","Creature — Insect","","8003ca2d-0c1d-47c1-bcd1-4609615c7a82","Adaptive Shimmerer","oracle-id","true","legal","arena,paper,mtgo"
"Adaptive Snapjaw","oracle-0027","true","certified","creature-template","{4}{G}","Creature — Lizard Beast","G","0a56e2ad-684d-45a7-9145-479d1505bba2","Adaptive Snapjaw","oracle-id","true","legal","paper,mtgo"
"Adaptive Sporesinger","oracle-0127","true","certified","creature-template","{2}{G}","Creature — Phyrexian Druid","G","f6311b7a-7482-4b13-9f8f-13e80c98e98e","Adaptive Sporesinger","oracle-id","true","legal","paper,arena,mtgo"
"Adaptive Training Post","legacy","true","certified-legacy","manual","{2}{U}","Artifact","U","a6657fcf-f08c-4b03-8ec8-cb0b194eb553","Adaptive Training Post","canonical-name","true","legal","paper,mtgo"
"Adarkar Wastes","legacy","true","certified-legacy","manual","","Land","WU","d5ad26cc-2bdb-46b7-b8bf-dd099d5fa09b","Adarkar Wastes","canonical-name","true","legal","paper,mtgo"
"Adder-Staff Boggart","oracle-0172","true","certified","creature-template","{1}{R}","Creature — Goblin Warrior","R","c95e75fb-2bf2-431c-b7ca-d84236bffe5c","Adder-Staff Boggart","oracle-id","true","legal","paper,mtgo"
"Additive Evolution","oracle-0047","true","certified","enchantment-template","{3}{G}{G}","Enchantment","G","ce1a6c1f-6b4e-4d19-b256-48d073b359b7","Additive Evolution","oracle-id","true","legal","paper,mtgo,arena"
"Adelbert Steiner","oracle-0047","true","certified","creature-template","{1}{W}","Legendary Creature — Human Knight","W","657a4500-4b47-4c78-945b-a7791af7d10e","Adelbert Steiner","oracle-id","true","legal","paper,arena,mtgo"
"Adeline, Resplendent Cathar","legacy","true","certified-legacy","manual","{1}{W}{W}","Legendary Creature — Human Knight","W","38515f89-348b-4cf3-b7bd-1f6fe4ce2fba","Adeline, Resplendent Cathar","canonical-name","true","legal","paper,mtgo"
"Adeliz, the Cinder Wind","oracle-0097","true","certified","creature-template","{1}{U}{R}","Legendary Creature — Human Wizard","RU","850eb3c3-029b-49b0-91a9-6daeb1b3a9e8","Adeliz, the Cinder Wind","oracle-id","true","legal","arena,paper,mtgo"
"Adept Watershaper","oracle-0027","true","certified","creature-template","{2}{W}","Creature — Merfolk Cleric","W","602cce3e-7033-47d6-aec1-d755f234f270","Adept Watershaper","oracle-id","true","legal","paper,arena,mtgo"
"Adherent of Hope","oracle-0149","true","certified","creature-template","{1}{W}","Creature — Human Soldier","W","b5f5400e-f341-40e3-b935-36d9cf983a20","Adherent of Hope","oracle-id","true","legal","arena,paper,mtgo"
"Admiral's Order","oracle-0152","true","certified","spell-template","{1}{U}{U}","Instant","U","ae4fe5e0-408d-4398-84d7-a901b836df2a","Admiral's Order","oracle-id","true","legal","arena,paper,mtgo"
"Admonition Angel","oracle-0127","true","certified","creature-template","{3}{W}{W}{W}","Creature — Angel","W","78a7bb30-fc60-410c-b086-862b5521c1aa","Admonition Angel","oracle-id","true","legal","paper"
"Adorned Crocodile","oracle-0097","true","certified","creature-template","{4}{B}","Creature — Crocodile","B","fb49c7d2-d750-4676-b90e-76e7fae70a25","Adorned Crocodile","oracle-id","true","legal","paper,arena,mtgo"
"Adorned Pouncer","oracle-0047","true","certified","creature-template","{1}{W}","Creature — Cat","W","80b8ee3d-4174-4f47-a533-a3db1e703382","Adorned Pouncer","oracle-id","true","legal","paper,mtgo"
