"name","oracle_id","mana_cost","type_line","color_identity","layout","status","reason","semantic_class"
"Aegis of the Meek","0cf78877-bf08-413c-8ecb-8c3265ac1c4a","{3}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Aeon Chronicler","a1399cb8-f22a-487e-b539-2db47b09a790","{3}{U}{U}","Creature — Avatar","U","normal","deferred","oracle-needs-explicit-semantics",""
"Aeon Engine","af471455-6b9f-4c14-bb90-a74a44ecd247","{5}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Aerial Modification","290cd0b1-55d6-4b30-962d-075a6f75d562","{4}{W}","Enchantment — Aura","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Aerial Surveyor","92c9b2fd-95d6-4937-aee2-67b4bb8ca29d","{2}{W}","Artifact — Vehicle","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Aerialephant","20046568-b067-49fb-93b4-2ee86421f14b","{3}{W}","Creature — Elephant Performer","W","normal","deferred","oracle-needs-explicit-semantics",""
"Aerith Rescue Mission","14c3e48b-4c4e-4787-8c50-0e3aee19aa23","{3}{W}","Sorcery","W","normal","deferred","spell-needs-explicit-semantics",""
"Aether Barrier","0fe602b7-9f88-4d3d-af24-7790df867ed5","{2}{U}","Enchantment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Burst","1e33f39b-a61a-4a09-a541-16cc1bd53d02","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aether Flash","a3c35742-e306-49b6-b042-db4f685c6f86","{2}{R}{R}","Enchantment","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Gust","ecf1e378-d6bc-4ee0-800e-eb8a955d781f","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aether Meltdown","433a2880-d989-4c40-99fa-0896de341b88","{1}{U}","Enchantment — Aura","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Refinery","9e9cde32-0568-44bc-a00a-9709f15c1350","{4}{R}{R}","Artifact","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Revolt","b73661a6-d136-4c65-804c-461e83484f4b","{2}{R}{R}","Enchantment","R","normal","deferred","unbound-event-amount",""
"Aether Rift","2577ef8e-d85e-47af-ac34-629f31992751","{1}{R}{G}","Enchantment","GR","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Searcher","80ea63fd-691a-45ba-a4bf-862e5ec2922d","{7}","Artifact Creature — Construct","","normal","deferred","oracle-needs-explicit-semantics",""
"Aether Snap","1a1a16e5-ce4f-42b8-a1c6-05dd635d83cc","{3}{B}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Aether Spike","e4a85647-0b8c-40b2-a5d5-43c78877ce36","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aether Syphon","d8956775-fda8-475d-9e8a-b61196a958ea","{1}{U}{U}","Artifact","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Tide","2fbf95b4-bcf4-4b5e-b5dc-0294f2b48d3e","{X}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Aether Tradewinds","3a0dd318-9523-4740-b0aa-a911032e3851","{2}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aether Vial","fc148e1e-dff0-448e-9f16-625341754356","{1}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Web","97e7778f-971c-4425-8f6d-f4ff3fae000f","{1}{G}","Enchantment — Aura","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Aetherflame Wall","6bb24767-687e-4ff6-b7ac-3bf969f4dfeb","{1}{R}","Creature — Wall","R","normal","deferred","oracle-needs-explicit-semantics",""
"Aetherflux Conduit","775617cd-7264-4365-94c4-ffae4eb9ec8b","{6}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Aetheric Amplifier","295cd8e1-0830-46c1-9957-556afd4bcee6","{3}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Aethermage's Touch","15692698-ef57-4672-bf76-5fe4a00c693a","{2}{W}{U}","Instant","UW","normal","deferred","spell-needs-explicit-semantics",""
"Aetherplasm","0cd99210-8d34-4112-8e41-7e8c5d2a95b9","{2}{U}{U}","Creature — Illusion","U","normal","deferred","oracle-needs-explicit-semantics",""
"Aethersnatch","45892ec2-8996-444f-a61c-5151926baa0b","{4}{U}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aetherspouts","48369aec-a991-4bef-8554-01c84302b063","{3}{U}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aetherworks Marvel","470ec98e-120c-446d-ade6-7d80aa836b55","{4}","Legendary Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Aeve, Progenitor Ooze","44600a74-9584-488b-a342-2fccd8fa7599","{2}{G}{G}{G}","Legendary Creature — Ooze","G","normal","deferred","oracle-needs-explicit-semantics",""
"Affectionate Indrik","88aa032d-dc11-4cae-81f3-ce66353963e0","{5}{G}","Creature — Beast","G","normal","deferred","oracle-needs-explicit-semantics",""
"Afflicted Deserter // Werewolf Ransacker","52adc761-1a0a-43d1-a706-41a92bb7880c","","Creature — Human Werewolf // Creature — Werewolf","R","transform","deferred","double-faced-card-needs-complete-back-semantics",""
"Afiya Grove","056a98aa-f3f7-4ac9-9755-3e8a60a59abb","{1}{G}","Enchantment","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Afterburner Expert","b4d19e3a-c2f8-4503-bcfa-1b46bde972e5","{2}{G}","Creature — Goblin Artificer","G","normal","deferred","oracle-needs-explicit-semantics",""
"Afterlife Insurance","05501e88-d4c3-4474-92a9-c02ab15b107b","{1}{W/B}","Instant","BW","normal","deferred","spell-needs-explicit-semantics",""
"Agadeem Occultist","9c462cd8-36f9-4e39-adf3-310ad4d76051","{2}{B}","Creature — Human Shaman Ally","B","normal","deferred","oracle-needs-explicit-semantics",""
"Agadeem's Awakening // Agadeem, the Undercrypt","562d71b9-1646-474e-9293-55da6947a758","","Sorcery // Land","B","modal_dfc","deferred","double-faced-card-needs-complete-front-semantics",""
"Agate-Blade Assassin","381a3e8e-71dd-48e4-ab62-53478bde4a14","{1}{B}","Creature — Lizard Assassin","B","normal","deferred","oracle-needs-explicit-semantics",""
"Agatha of the Vile Cauldron","f398d222-f8e7-4983-9a77-267adef7f551","{R}{G}","Legendary Creature — Human Warlock","GR","normal","deferred","oracle-needs-explicit-semantics",""
"Agatha's Champion","debdfab7-454f-4fec-9ee8-aa5b570ea7fb","{4}{G}","Creature — Human Knight","G","normal","deferred","oracle-needs-explicit-semantics",""
"Agatha's Soul Cauldron","c259e16f-2a44-4552-8678-815f757a02e8","{2}","Legendary Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Ageless Sentinels","9023c530-f329-4301-8b24-4cf676194265","{3}{W}","Creature — Wall","W","normal","deferred","oracle-needs-explicit-semantics",""
"Agency Coroner","3686fd97-49ff-4a92-9cb2-7d8e9438d945","{4}{B}","Creature — Ogre Cleric","B","normal","deferred","oracle-needs-explicit-semantics",""
"Agent Frank Horrigan","aedcde3b-3ed5-443c-a81c-03d785153e55","{5}{B}{G}","Legendary Creature — Mutant Warrior","BG","normal","deferred","oracle-needs-explicit-semantics",""
"Agent Maria Hill","a2d90efe-80f2-4069-b135-a8bd00ccd2b0","{W}","Legendary Creature — Human Spy Hero","W","normal","deferred","oracle-needs-explicit-semantics",""
"Agent of Acquisitions","19047c4b-0106-455d-ab71-68cabfae7404","{2}","Artifact Creature — Construct","","normal","deferred","oracle-needs-explicit-semantics",""
"Agent of Treachery","4cd82c7a-86df-4d29-b578-c009208c0d4b","{5}{U}{U}","Creature — Human Rogue","U","normal","deferred","oracle-needs-explicit-semantics",""
"Agent of the Shadow Thieves","b2142d8b-ea53-443e-bd60-9e70d9da9bd7","{1}{B}","Legendary Enchantment — Background","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Agent's Toolkit","a87abe7a-fee9-45fd-b3d8-896e43ed6b3c","{1}{G}{U}","Artifact — Clue","GU","normal","deferred","noncreature-needs-explicit-semantics",""
"Aggravate","192aa7b2-a819-4ffd-bfbf-a270271898e6","{3}{R}{R}","Instant","R","normal","deferred","spell-needs-explicit-semantics",""
"Aggression","b6c38a2b-2fe8-4080-80ce-cfa12aaf57f0","{2}{R}","Enchantment — Aura","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Aggressive Mining","ff321c13-03ae-4cb9-b371-1242290f8433","{3}{R}","Enchantment","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Agility","0f5f8b47-d104-4e29-b052-02d730d76ec0","{1}{R}","Enchantment — Aura","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Agility Bobblehead","83a3897c-c245-4fad-b253-3f8bbe6445fb","{3}","Artifact — Bobblehead","","normal","deferred","noncreature-needs-explicit-semantics",""
"Agonizing Demise","41681a1f-0777-4b96-8c7e-d6a5d1b1c8fc","{3}{B}","Instant","BR","normal","deferred","spell-needs-explicit-semantics",""
"Agonizing Memories","2ac9d397-10ca-43ce-bff9-45d631553486","{2}{B}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Agonizing Remorse","1267dfda-eb1a-4963-9fe3-fa619d924d7a","{1}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Agrus Kos, Eternal Soldier","3d19823a-dbb8-4384-81f4-5c6818b7f46d","{3}{W}","Legendary Creature — Spirit Soldier","RW","normal","deferred","oracle-needs-explicit-semantics",""
"Agrus Kos, Spirit of Justice","11b7ee78-fca6-4b34-93e4-e60492583d50","{2}{R}{W}","Legendary Creature — Spirit Detective","RW","normal","deferred","oracle-needs-explicit-semantics",""
"Agrus Kos, Wojek Veteran","e758aecd-6ce1-42f6-9716-32871e3bfa41","{3}{R}{W}","Legendary Creature — Human Soldier","RW","normal","deferred","oracle-needs-explicit-semantics",""
"Aim for the Head","b191ae0c-7d54-459f-abe3-aab5d792e514","{2}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Air Nomad Student","a468f6ab-c0a8-4295-8b01-7147d3f889b4","{3}{W}","Creature — Human Monk","W","normal","deferred","oracle-needs-explicit-semantics",""
"Airbender Ascension","c4d2fdf9-637d-4e97-ae33-45f2d27bf8cd","{1}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Airbender's Reversal","64e3791b-de99-4eed-af49-cbec218c28aa","{1}{W}","Instant — Lesson","W","normal","deferred","spell-needs-explicit-semantics",""
"Airbending Lesson","e101b744-9175-4aa5-bf80-d6944359e538","{2}{W}","Instant — Lesson","W","normal","deferred","spell-needs-explicit-semantics",""
"Airlift Chaplain","719aeb50-c8cf-4cd8-b74c-d2cef408b52e","{2}{W}","Creature — Human Cleric","W","normal","deferred","oracle-needs-explicit-semantics",""
"Airtight Alibi","cb666ea8-55e3-4e27-ae6d-806677dfc17a","{2}{G}","Enchantment — Aura","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Aisha of Sparks and Smoke","eae3e762-dacd-4bd2-923c-3abb5ceb729a","{1}{R}{R}","Legendary Creature — Human Warrior","RW","normal","deferred","oracle-needs-explicit-semantics",""
"Aisling Leprechaun","5456f00c-0bef-4c14-902f-f5c14475f284","{G}","Creature — Faerie","G","normal","deferred","oracle-needs-explicit-semantics",""
"Ajani Fells the Godsire","0daefecb-7189-44bb-9ca0-96a9572cd240","{3}{W}{W}","Enchantment — Saga","W","saga","deferred","saga-chapter-needs-complete-semantics",""
"Ajani Goldmane","dfb5f660-fd8b-4b7b-934c-6a71cd182f15","{2}{W}{W}","Legendary Planeswalker — Ajani","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Ajani Steadfast","90249526-1875-450a-882d-bf6f6bfd37a6","{3}{W}","Legendary Planeswalker — Ajani","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Ajani Unyielding","8a70ddc5-bb51-45eb-96f2-8ecaecac0cc2","{4}{G}{W}","Legendary Planeswalker — Ajani","GW","normal","deferred","noncreature-needs-explicit-semantics",""
"Ajani Vengeant","f953afdf-96f7-4851-994c-1617e8f5e5c9","{2}{R}{W}","Legendary Planeswalker — Ajani","RW","normal","deferred","noncreature-needs-explicit-semantics",""
"Ajani's Chosen","9c77eb0a-543a-41db-ba1f-aa0163837ae0","{2}{W}{W}","Creature — Cat Soldier","W","normal","deferred","oracle-needs-explicit-semantics",""
"Ajani's Last Stand","17c4807c-158e-4a86-90f1-d8fb2ebe892a","{2}{W}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Ajani, Adversary of Tyrants","b25bea73-7444-4ee2-8022-611461506117","{2}{W}{W}","Legendary Planeswalker — Ajani","W","normal","deferred","noncreature-needs-explicit-semantics",""
